States,lit2011
ANDHRA,67.4
ARUNACHAL,66.95
ASSAM,73.18
BIHAR,63.82
CHHATTISGARH,71.04
GOA,87.4
GUJARAT,79.31
HARYANA,76.64
HIMACHAL,83.78
JAMMU,68.74
JHARKHAND,67.63
KARNATAKA,75.6
KERALA,83.78
MADHYA,70.63
MAHARASHTRA,82.91
MANIPUR,79.85
MEGHALAYA,75.48
MIZORAM,91.58
NAGALAND,80.11
ODISHA,73.45
PUNJAB,76.68
RAJASTHAN,67.06
SIKKIM,82.2
TAMIL,80.33
TRIPURA,87.75
UTTAR,69.72
UTTARAKHAND,79.31
BENGAL,77.08
ANDAMAN,86.27
CHANDIGARH,86.43
D&N HAVELI,77.65
DAMAN,87.07
DELHI,86.34
LAKSHADWEEP,92.28
PONDICHERRY,86.55
