States,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ANDHRA,0,0,0,0,1,5,0,2,6,1,7,1,7,0
ARUNACHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,0,0,0,0,1,1,0,0,0,0,0,0,0,0
BIHAR,0,1,0,1,0,0,0,0,5,0,1,1,1,0
CHHATTISGARH,5,0,6,6,21,5,10,9,7,9,21,5,15,5
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,4,9,4,0,4,6,1,1,3,10,0,7,2,0
HARYANA,3,6,2,15,8,9,4,5,3,2,5,28,21,6
HIMACHAL,0,6,0,2,1,5,1,2,1,1,0,0,2,4
JAMMU,0,2,0,0,0,0,0,0,0,0,1,0,0,0
JHARKHAND,0,0,1,1,0,1,0,0,0,4,1,0,4,1
KARNATAKA,1,7,0,4,7,13,7,5,7,0,1,3,0,0
KERALA,0,2,0,0,1,0,0,0,0,18,0,1,1,0
MADHYA,7,4,11,9,12,14,10,8,39,5,38,64,79,30
MAHARASHTRA,17,10,5,15,4,10,1,2,17,0,12,22,17,7
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,0,0,0,0,0,0,5,0,0,0,0,0,1,0
PUNJAB,7,10,11,8,12,22,35,24,23,15,15,25,12,10
RAJASTHAN,8,6,12,17,10,25,16,10,12,18,13,37,34,24
SIKKIM,0,0,0,1,1,0,0,0,0,0,0,2,0,0
TAMIL,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UTTAR,1,1,3,2,0,2,1,2,0,18,12,11,17,0
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BENGAL,0,0,0,0,0,0,1,1,0,0,0,0,3,1
ANDAMAN,0,0,0,0,0,0,0,0,0,3,0,1,1,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D&N HAVELI,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2,20,2,4,3,7,4,2,0,7,5,2,3,5
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
