tweet,user_name,country,user_location,language
i liked a video amber rose claims she was constantly bullied by kanye after breakup, LY NoStress,NONE,NONE,en
this situation around coutinho is just embarrassing really we are being bullied by him i ve lost a lot of respect for him ,David,NONE,NONE,en
evidence hacked theresistance trumprussia russiagate harrassed stalked intimidated by the cont , ,NONE,USA,en
like sorry an abused woman at the hands of a monster is messing up your fantasy football but some things are a little more important ,hales ,United States,USA,en
find it funny when you see lads who get bullied by their girlfriends ,Louis Ralston,United Kingdom,UK,en
bird yes amp i want to relive being bullied by eighth graders,Paul Blart Mallcop3,NONE,USA,en
i liked a video getting bullied by nogla and terroriser mario kart 8 deluxe funny moments and,AnimeFanForever27,NONE,NONE,en
i was very fortunate to meet wonderful people in manchester and across the country i never experienced this ,Pablo Astudillo,NONE,Chile,en
this twerp doesn t deserve any sort of help i ve seen him tweet camila harassing her a number of times he can t ,C s Knight Errant,NONE,NONE,en
ude ube nomona ngomfi hayi undzulu ,Baby,NONE,South Africa,in
oh let s spend millions on a ted wells investigation he probably knew he abused t ,Sam Chu,NONE,USA,en
you are trash it s dis tasteful blaming alcohol when a woman is being abused ,Mzamo Ngwane,NONE,South Africa,en
rihanna was a abused woman abused women always go back to there abuser because the abuser makes it seem like it s there fault when it s not,Snow ,NONE,USA,en
and gets bullied by his family yeah ,Vanguard,NONE,UK,en
i get that i have enough conflict in real life to not need added net twat ra ,Stealth Magpie,NONE,NONE,en
ezekiel elliott suspended for 6 games substantial evidence he abused woman gossipnews ,newslocker Gossip,NONE,NONE,en
thousands of years of female abuse and liberals opened the doors to allow it in democratic west brilliant ,cris,NONE,NONE,en
darby had a down year but in schwartz scheme he should find himself again just gets bullied by big wrs ,Connor White,NONE,NONE,en
now atx rose emojis are sobbing about a good organizer and loyal bernie man being harrassed just because he organized a few prison guards,DSA Tankie ,NONE,USA,en
the last part of this tweet was so unnecessary you are such a creep ude uthethe lonto ngomntu oswelekileyo ,Sikhokele,NONE,South Africa,en
he allegedly abused a woman for a few days the nfl has claimed it has photographic evidence through the investigation ,Jonathon Loughridge,NONE,UK,en
heartbreaking especially as he could have been supported by the school ,David,NONE,UK,en
as much as i like sarah i want her to go for her own good its soo hard to watch her being bullied by complete arseholes cbb,kerry,NONE,NONE,en
you calling a dead woman that looks better than you basic lol ,Nick,NONE,USA,en
sexy hot naked woman thai teen abused ,Sophia Stewart,NONE,NONE,en
ryan i agree it wasn t his fault the oline was just getting bullied by a ,Park Mahathey,NONE,USA,en
lukas and clive get bullied by witches forever,Lance,NONE,NONE,en
sexy hot naked woman thai teen abused ,Gillian Martinez,NONE,NONE,en
don t cyber bully by the song he uploaded it s everyday bro he bullied his ex alissa violet also ma ,Dr Grey,NONE,USA,en
ive beaten cheated on humiliated belittled threatned all by a man who claimed 2 love me then i c his happywomensday post irony womenabuse,Nolu,NONE,South Africa,en
if u seen him irl you d be shocked at how ppl let themselves get bullied by him,Ajakis,NONE,UK,en
i m pretty sure blocked is better than stalked by this one gt gt gt ,Katie Bojinkavi,NONE,NONE,en
omg that s amazing i ve never been in a donkey stampede but i was stalked by a peacock does that c ,Linzee Style,NONE,USA,en
report show me one muslim woman that hasn t been abused physically mentally amp aren t 3rd class or a servant ,G3,NONE,NONE,en
zeke elliott suspended 6 games substantial evidence he abused woman via sports what a dumbass huge cost ,Greg P ,NONE,USA,en
i m fairly certain i m being stalked by one of them after i broke his scythe and i m worried for my safety ,First Aid,NONE,NONE,en
wow what a man beat up a woman hope she pressed charges if she didn t then she better buy her plot now ,Lizziebee,NONE,USA,en
but you did put your hands on a female so you abuse woman goodbye , ,NONE,NONE,en
i ve been feeling the exact same literally every freakin day ,dondrea,NONE,Canada,en
ur daily reminder that when he told the truth about socialism he was bullied by communist ,Marco,NONE,NONE,en
