tweet,user_name,country,user_location,language
more arrests in detroit more health professionals abusing their power to abuse children ,ClareD x,NONE,United Kingdom,en
for days our tribe was stalked and eyed by some jealous men who was upset because our king and us were the chosen jews who did good 4 god,CBD HEMP OIL,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,Grahame Lucas,NONE,Citizen of nowhere,en
hetherington can i be honest can of worms i really don t intend to put out there again so i c ,Jen Leavesley ,NONE,United Kingdom,en
sorry ladies after you have been stalked in real life like i have by dozens of payed flying nothing phases me ,Super Empath,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence news world special,Sabah Maju Jaya,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence from recent government organised trip ,Jerome Taylor,NONE,Bangkok,en
this still takes me out ,jerusalem,NONE,USA,en
female should be very careful on sm ,Asad Abbas Sialvi,NONE,Pakistan,en
pamplona myanmar s rohingya cornered by poverty stalked by violence ,Finde Semana Redondo,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,Dunya News,NONE,Pakistan,en
today in 80s history on 7 18 1989 actress rebecca schaeffer was murdered by roberta bardo an obsessed fan that s ,The Vinyl Countdown,NONE,USA,en
myanmar s rohingya cornered by poverty stalked by violence ,AFP news agency,NONE,France,en
afp myanmar s rohingya cornered by poverty stalked by violence ,Karlo Kova ,NONE,Croatia,en
iconic ,Sara,NONE,NONE,en
nation1 some men r abused by female partners but the majority of dom ,Barbara Roberts,NONE,Australia,en
myanmar s rohingya cornered by poverty stalked by violence hemmed in by myanmar security forces and menaced by abductions and killings ,LuisCampos Monaco,NONE,NONE,en
they shouldn t bite off bhudist nun extremist tried to test there limits with killing respond back bonebreaking fis ,mark michael dominic,NONE,Singapore ,en
afp myanmar s rohingya cornered by poverty stalked by violence ,WWE,NONE,Nepal,en
afp myanmar s rohingya cornered by poverty stalked by violence ,Bangladesh News 24,NONE,United Kingdom,en
il metodo dell invasione musulmana nel suo primo step lo possiamo vedere in myanmar vittimismo da minoranza perse ,Discepolo di Dioniso,NONE,NONE,it
they burned our house we have no home and nothing to eat rohingya burma humanrights ,Zashnain Zainal,NONE,Malaysia,en
merriam webster shuts sexism in 6 words take a look sexist power ,LifeCrust,NONE,India,en
afp myanmar s rohingya cornered by poverty stalked by violence ,Supra1BqTeam,NONE,USA,en
i think about this tweet a lot ,Aristhotle ,NONE,USA,en
i hate seeing celebrities attacked and stalked by the media ,Rem Oscuro,NONE,Madagascar,en
in myanmar stalked by violence rohingya muslims says they live in fear ghananews ghana,Ghanafeeds,NONE,Ghana,en
myanmar s rohingya cornered by poverty stalked by violence ,FRANCE 24,NONE,France,en
c est un crime contre l humanit ,nadiaAKSB,NONE,NONE,fr
why is the world silent about myanamar children of the corn are always on the news whether their stuff is made in ,Aria Ahrary,NONE,Portland ,en
i don t think maddy wants to be part of it to be honest she looks bullied by alex too,melpowell1983,NONE,United Kingdom,en
had to stop listening to the sexist remarks from on your show genderequity,Miguel Martinho,Portugal,Portugal,en
student is bullied for being albino then she gets payback by becoming a model ,THE Hollywood Report,NONE,NONE,en
